Time,Type of Transaction,Age,Fraud
11,ATM,15,0
17,POS,45.8,0
23,Online,35.4,0
14,Online,45.3,0
17,POS,54.2,0
8,ATM,41.7,0
20,ATM,42.5,0
14,ATM,46.8,0
7,POS,53.7,0
22,POS,51.1,0
23,POS,54,0
14,POS,49.9,0
14,Online,42,0
18,Online,43,1
21,POS,52.6,0
15,POS,50.4,0
23,POS,29.1,0
11,POS,41.2,0
20,POS,52.9,0
10,ATM,42.7,0
16,ATM,40.2,0
21,ATM,33.1,0
9,Online,52.2,0
20,ATM,42.5,0
20,POS,47.4,0
10,ATM,45.5,0
20,Online,38.8,0
15,ATM,49.4,0
0,ATM,42.6,1
10,Online,47.1,1
19,POS,34.2,1
19,POS,58.9,0
16,ATM,37.9,0
11,POS,46.3,0
22,ATM,35.5,0
6,Online,60.8,1
17,ATM,37.8,0
19,Online,47.8,0
10,ATM,58.6,0
22,POS,67.7,0
16,ATM,38.1,0
15,ATM,27.2,0
9,POS,32,0
8,Online,35.5,0
23,POS,34.8,0
1,POS,56.7,1
16,Online,28.4,0
19,ATM,45.4,0
20,POS,35,0
17,ATM,38.5,0
10,Online,49.6,0
13,ATM,50.9,0
22,Online,49.7,0
14,POS,44.2,0
17,ATM,40.2,0
18,Online,52.9,0
21,Online,56.2,0
20,Online,50.8,0
17,POS,39.5,0
14,Online,58.4,0
22,Online,44.9,0
14,POS,49.6,0
13,Online,29.7,0
21,POS,45.6,0
21,Online,42.3,0
8,ATM,46.8,0
17,POS,27.1,0
7,ATM,49.8,0
7,POS,52.5,0
8,ATM,47.6,0
12,Online,33.3,0
7,Online,62.3,0
18,ATM,47.2,0
10,ATM,43,0
15,POS,46.5,0
18,ATM,57.3,0
20,POS,42.7,0
8,ATM,42.1,0
22,ATM,51.4,0
13,POS,44.8,0
8,ATM,38.8,0
22,ATM,52.1,0
11,ATM,57.5,0
11,POS,45.2,0
23,POS,57.5,0
10,ATM,39.2,0
12,POS,32.2,0
23,Online,48.2,0
23,Online,42.6,0
18,Online,47.8,1
19,Online,46.8,0
14,POS,66.2,1
18,POS,37.2,0
10,Online,39.9,0
20,ATM,45.2,0
12,Online,52.5,0
12,POS,56.6,0
21,Online,58.1,0
19,Online,40.5,0
10,POS,43,0
10,Online,40.7,0
17,ATM,50.7,0
11,Online,33.5,0
20,Online,48.5,0
12,ATM,49.4,0
13,ATM,42.5,0
8,ATM,48.5,0
14,POS,51.4,0
9,Online,43.1,0
7,ATM,55.2,0
9,Online,39.8,1
13,ATM,51.5,0
18,ATM,52.4,0
21,Online,65.8,0
9,POS,60.5,0
14,POS,49.2,0
13,Online,55.5,0
20,ATM,47.5,0
15,POS,31.3,0
6,ATM,38.1,1
14,Online,55.3,0
14,Online,29.4,0
14,ATM,48.2,0
11,POS,45.3,0
21,Online,39.3,1
7,Online,36.4,0
23,Online,56.4,0
14,POS,57.9,0
17,POS,42.3,0
12,POS,54,0
16,ATM,59.3,0
19,POS,53.7,0
9,Online,54.6,0
18,POS,34,0
23,ATM,42.2,0
17,ATM,49.8,0
16,POS,44.2,0
19,Online,52,0
10,Online,54.6,0
23,ATM,26.9,0
22,Online,66.8,0
12,POS,46,0
15,ATM,45.8,0
15,ATM,43.2,0
22,ATM,48.5,0
11,POS,37.7,0
10,ATM,41.1,0
20,Online,38.7,0
11,POS,44.9,0
20,Online,40,0
16,Online,46.4,0
19,Online,31.2,0
18,Online,50.2,0
22,ATM,48.2,0
15,Online,51.8,0
14,ATM,44.1,0
3,Online,35.8,1
20,POS,31.3,0
12,POS,28.2,0
11,POS,43.5,0
18,POS,26.5,0
19,ATM,69,0
14,POS,53.5,0
16,Online,74.7,0
10,Online,42.2,0
11,ATM,43.8,0
8,Online,59.9,0
20,POS,54.4,0
17,POS,51.4,0
17,Online,74.5,0
13,Online,18.8,0
14,POS,51.5,0
11,POS,47.4,0
11,POS,29.3,0
23,Online,36.8,0
16,POS,45.1,0
19,POS,42.2,0
17,Online,48.9,0
13,Online,57.2,0
20,Online,61.5,0
8,ATM,33.6,0
20,ATM,35.6,0
14,POS,33.2,0
15,Online,50.3,0
13,Online,61.3,0
8,Online,48.3,0
20,Online,25.4,0
12,Online,41,0
17,ATM,57.9,0
12,Online,43.1,0
2,POS,31.8,1
20,POS,54,0
11,POS,43,0
11,POS,60,0
9,POS,58.8,0
9,POS,42.4,0
11,POS,36.6,0
10,ATM,54.6,0
7,Online,71.7,0
17,POS,41.3,0
0,Online,37.1,1
10,ATM,39.8,0
15,Online,44.2,0
22,POS,56.2,0
19,POS,47.2,0
13,Online,44.1,0
15,ATM,38.3,0
8,POS,60.4,0
13,Online,53.5,0
21,POS,34.8,0
6,ATM,41.8,1
9,Online,61.2,0
15,POS,40.2,0
18,Online,24.9,0
14,Online,59.2,0
9,ATM,51.1,0
11,ATM,48.8,0
12,Online,47.2,1
21,Online,37.7,0
12,POS,27.3,0
22,POS,43.5,0
13,Online,43.7,0
22,Online,29.7,0
16,Online,37.8,0
18,Online,20.7,0
22,ATM,53.8,0
9,ATM,39.4,0
14,Online,51.4,0
9,POS,49.1,0
12,Online,36.9,0
8,Online,29.8,0
10,POS,38.9,0
13,POS,44.9,1
14,POS,48.9,0
19,POS,36.8,0
15,Online,53.1,0
9,ATM,48.7,0
15,Online,50,0
20,Online,40.6,0
20,POS,47.2,0
20,Online,44.5,0
22,Online,36.9,0
22,POS,48.2,0
18,POS,32.5,0
10,ATM,54.4,0
20,ATM,55.7,0
10,POS,51.5,0
4,POS,56.5,1
7,POS,37.2,0
20,POS,39,0
19,ATM,30.4,0
16,Online,37.9,0
9,ATM,40.7,0
6,POS,43,1
11,ATM,57.4,0
12,Online,35.4,0
11,Online,34.7,0
17,ATM,24.8,0
11,Online,20.3,0
17,Online,40.9,0
2,Online,50.2,1
20,ATM,46.5,0
18,POS,40.1,0
13,Online,39,0
19,Online,59.2,0
22,ATM,43.7,0
20,Online,28.9,0
11,POS,53.9,0
16,POS,29.9,0
20,POS,49.2,0
7,ATM,34.1,0
16,POS,35.5,0
23,ATM,48.2,0
5,Online,55,1
11,ATM,31,0
22,Online,31.7,0
21,Online,59.2,0
1,Online,54.1,1
22,Online,35,0
21,Online,38.5,0
13,Online,42.1,0
21,ATM,50.7,0
20,POS,34.5,0
14,POS,74.1,0
19,ATM,42,0
14,POS,62.5,0
20,POS,39.4,0
0,Online,50,1
17,Online,27.3,0
7,POS,42.2,0
8,ATM,56.1,0
14,ATM,52.9,0
23,ATM,35,0
20,ATM,45.2,0
20,Online,51.1,0
8,ATM,34.6,0
20,Online,41.7,0
22,POS,20.7,0
21,POS,28.7,0
9,Online,54.5,0
12,ATM,46.9,0
14,POS,43.2,0
22,POS,44.9,0
16,POS,58.2,0
11,POS,56.3,0
20,POS,48.3,0
15,Online,38.7,0
17,Online,46.6,0
18,POS,66.8,0
7,POS,44.6,0
11,Online,46.4,0
11,POS,42.5,0
14,POS,51.2,0
10,Online,45.7,0
10,POS,40.4,0
18,POS,46.3,0
12,POS,31.3,0
13,Online,55,0
10,Online,32.4,0
18,ATM,40.7,0
20,Online,51.5,0
22,POS,51.1,0
16,ATM,48.5,0
16,ATM,37.7,0
15,ATM,56.6,0
13,ATM,50.7,0
16,Online,44.6,0
20,Online,76.7,0
17,Online,47.5,0
9,POS,37,0
10,POS,44.2,0
12,Online,30.5,0
20,POS,44,0
20,ATM,37.3,0
17,ATM,47.1,0
15,POS,42.5,0
11,Online,19.5,0
16,ATM,44.1,0
18,ATM,45,0
18,Online,36.4,0
14,Online,58.4,0
23,POS,28.6,1
21,Online,28.9,0
12,POS,60.3,0
10,ATM,42.3,0
10,Online,53.4,0
8,POS,37.4,0
14,ATM,47.1,0
20,Online,43,0
13,Online,51.2,0
3,POS,43,1
13,POS,62.1,0
12,POS,47,0
8,Online,37.4,0
18,POS,60.7,0
13,Online,45.4,0
17,Online,48.3,1
14,ATM,54.2,0
16,POS,34.9,0
23,ATM,43.7,0
9,POS,51.6,0
16,Online,23,0
7,Online,28.2,0
16,POS,49.6,0
9,POS,54.6,0
7,POS,45,0
15,POS,60.1,0
15,Online,33.3,0
22,POS,27.5,0
21,Online,52.9,0
9,ATM,46.5,0
11,ATM,33.2,0
17,ATM,25.7,0
16,POS,39,0
7,Online,50,0
23,POS,38.3,0
10,Online,64.5,0
14,ATM,57.9,0
19,POS,44.9,0
15,ATM,48.4,0
19,POS,22.8,0
19,Online,31.6,0
23,POS,48.3,0
12,ATM,43.5,0
7,ATM,29.5,0
15,POS,56.8,0
14,POS,53.4,0
18,POS,34.4,0
19,POS,40,0
20,ATM,35,0
8,POS,28.8,0
8,POS,38.3,0
18,ATM,30.7,0
19,ATM,48,0
8,POS,24.1,0
9,POS,38.8,0
22,POS,50.8,0
13,Online,42.1,0
11,POS,56.2,1
9,Online,43.3,0
22,ATM,46.3,0
19,ATM,35.9,0
17,ATM,37.9,1
12,Online,41.6,0
9,Online,42.7,0
16,Online,26.2,0
18,POS,51.4,0
7,ATM,45.1,0
22,POS,41.3,0
8,POS,41.3,1
18,POS,43,0
23,ATM,47.3,0
10,POS,32.4,0
21,POS,53.6,0
15,POS,37.2,0
8,ATM,51.4,0
8,Online,32.3,0
14,POS,25.5,0
14,Online,40.8,0
11,ATM,45.5,0
11,POS,29.8,0
9,ATM,42.5,0
11,ATM,47.1,0
7,Online,56.7,0
13,POS,45.5,0
18,Online,46.4,0
20,Online,62.4,0
15,Online,56,0
19,ATM,34.8,0
19,Online,49.9,0
0,Online,63.4,1
9,Online,29.5,0
23,POS,58.5,0
22,Online,42,0
21,ATM,49,0
15,POS,37.6,0
19,POS,36,0
12,ATM,53.2,0
0,Online,52,1
20,Online,47.4,0
15,POS,39.9,0
18,ATM,37,0
23,POS,33.6,0
13,ATM,42.2,0
23,POS,42.1,0
16,POS,23.6,0
17,Online,43.8,0
11,ATM,51.2,1
21,POS,44.1,0
16,Online,42.5,0
23,Online,49.3,1
10,ATM,47.4,0
10,Online,40.2,0
10,Online,31.1,0
21,ATM,36.7,0
12,ATM,32.4,0
10,Online,41.1,0
23,POS,65.1,0
12,POS,49.4,0
15,POS,40.9,0
1,POS,31,1
23,ATM,49.1,0
17,POS,43.4,0
23,ATM,50.5,0
14,POS,40.4,0
19,Online,62.3,0
9,Online,34.3,0
12,Online,54.7,1
22,POS,35.6,0
15,POS,39.5,0
22,Online,62.7,0
11,ATM,46.1,0
13,ATM,46.7,1
16,POS,39.6,0
10,Online,55.6,0
22,ATM,36.7,0
7,POS,45.4,0
23,ATM,62.8,0
16,ATM,49.1,0
18,Online,46.6,0
11,POS,45.2,0
23,Online,38.1,0
3,POS,32.6,1
9,Online,41.7,0
18,ATM,30.4,0
18,Online,44.3,0
15,ATM,46.3,0
9,POS,31.9,0
20,ATM,51.2,0
7,POS,68.4,0
16,ATM,43.5,0
20,ATM,31.9,0
16,Online,34.9,0
7,POS,40.1,0
20,POS,42.7,0
10,Online,34.6,0
11,POS,49.2,0
16,POS,36.4,0
8,ATM,52.9,0
15,ATM,25.5,0
10,Online,43.5,0
23,ATM,53.4,0
14,ATM,34.3,0
3,POS,49.5,1
16,ATM,32,0
20,POS,47.8,0
8,ATM,50.2,0
11,POS,60.1,0
10,ATM,42.1,0
13,Online,48,0
20,POS,32.9,0
11,POS,35.2,0
13,Online,49.9,0
10,POS,47.4,0
15,ATM,36.2,0
16,ATM,46.2,0
13,POS,51,0
20,ATM,41.5,0
23,POS,42.7,0
8,ATM,60.3,0
13,ATM,54.8,0
22,ATM,59.6,0
22,ATM,56.4,0
7,Online,40.9,0
19,Online,46.9,0
14,POS,37.8,1
15,ATM,45.2,0
20,POS,48.5,0
9,ATM,42.9,0
7,Online,41.6,0
15,Online,41.8,0
18,Online,39.3,0
22,POS,52.2,0
12,ATM,60.6,0
16,POS,32.7,0
14,POS,41,1
12,ATM,52.7,0
16,Online,51.5,0
8,ATM,44.8,0
19,ATM,51.4,0
15,Online,46.6,0
13,POS,51.5,0
19,Online,61.6,0
10,ATM,37.7,0
12,Online,53.4,0
14,POS,64.4,0
12,POS,52.7,0
11,ATM,58.4,0
7,POS,36.4,0
23,ATM,35.9,0
15,ATM,40.3,0
23,Online,56.5,0
10,Online,30.4,0
3,POS,45,1
13,POS,31.7,0
21,POS,45.9,0
9,Online,46.7,0
13,POS,43.3,0
10,ATM,47.3,0
12,ATM,49.2,0
19,ATM,26.4,0
19,POS,43.2,0
23,POS,45,0
13,POS,38.1,0
7,Online,52.3,0
7,POS,48.2,0
18,POS,34.2,0
16,POS,37,0
20,POS,41.3,0
14,Online,52.2,0
12,Online,43.5,0
22,POS,45.4,0
7,Online,44,0
2,Online,46.3,1
19,Online,46.9,0
13,ATM,39.1,0
15,ATM,44.4,1
20,POS,59.1,0
21,Online,47.4,0
9,POS,46.8,0
14,POS,44.4,0
9,Online,65.5,0
22,ATM,56.7,0
2,POS,60.8,1
16,POS,32.6,0
7,ATM,43.3,0
23,POS,50,0
7,POS,52.4,0
16,Online,36.1,0
0,POS,31.8,1
19,ATM,29.4,0
12,POS,48.8,0
15,Online,56.4,0
18,POS,46.9,0
12,POS,32.6,0
13,POS,49.9,0
23,POS,35.1,0
15,POS,54.9,0
20,ATM,57.2,0
17,Online,38.6,1
7,POS,50.5,0
9,POS,48.8,0
8,ATM,47.6,0
14,ATM,47,0
21,ATM,48.3,0
10,Online,44.1,0
15,POS,58.7,0
15,POS,53.6,0
22,Online,35.4,0
23,ATM,49.4,0
21,ATM,39.7,0
22,Online,35,0
17,POS,47.2,0
14,Online,54.2,0
21,Online,33.8,0
12,Online,53.4,0
17,Online,43.8,0
17,ATM,52.4,0
14,ATM,52.9,0
15,ATM,46.5,0
9,ATM,38,0
17,ATM,50.4,0
19,Online,31.2,0
14,POS,43.4,0
18,ATM,49.8,0
20,POS,36.3,0
7,POS,32.3,0
15,Online,33.2,0
16,Online,41.3,0
8,ATM,47.7,0
22,Online,46.7,0
10,POS,45.1,0
13,Online,52.9,0
16,Online,46.2,0
19,ATM,36.6,0
21,ATM,49.5,0
7,POS,56.6,0
19,ATM,17.4,0
7,POS,33,1
16,POS,55.9,0
19,Online,41.1,0
15,POS,25.1,0
21,POS,50.4,0
16,ATM,37.3,0
23,POS,42,0
18,POS,51.5,1
7,ATM,49.7,0
7,ATM,36.9,0
16,ATM,60.2,0
7,Online,50.5,0
17,POS,22.7,0
20,Online,50.2,0
21,ATM,36.6,0
23,ATM,46.5,0
9,ATM,43.6,0
8,POS,40.6,0
17,ATM,51.4,0
22,ATM,52.6,0
12,Online,48.3,0
14,Online,56,0
18,ATM,38.2,0
21,ATM,29,0
22,Online,38,0
13,POS,25.3,0
21,POS,46.9,0
13,Online,37.6,0
10,ATM,19.4,0
12,ATM,46.4,0
8,Online,40,0
20,Online,43.4,0
22,POS,36,0
20,POS,40.3,0
21,Online,49.9,0
23,POS,63.9,0
18,Online,44.6,0
21,ATM,44.5,0
4,Online,52.9,1
7,Online,37.8,0
16,ATM,50.7,0
11,Online,54.1,0
21,Online,53.1,0
8,POS,46.5,0
13,ATM,49,0
13,ATM,52,0
22,Online,60.4,0
17,POS,38.3,0
16,Online,29.9,1
8,Online,52.9,0
22,POS,42.6,0
12,POS,49.2,0
15,POS,35.7,0
10,Online,46.1,0
17,POS,30.4,0
11,POS,49.1,0
11,ATM,52.9,0
23,POS,51.9,0
19,ATM,53,0
18,ATM,43.2,0
20,ATM,44.8,0
14,ATM,48,0
9,Online,37.8,0
21,ATM,46.4,0
17,ATM,66.7,0
7,ATM,28,0
11,POS,28.4,0
14,POS,40.4,0
9,ATM,49.5,0
18,ATM,24,0
19,ATM,42.1,0
9,POS,53.3,0
21,Online,34,0
14,POS,49.8,0
14,ATM,49.6,0
17,ATM,56.8,0
10,Online,44.8,0
7,ATM,60.1,0
13,POS,35.6,0
20,Online,52.8,0
11,POS,56.4,0
18,Online,45,0
14,Online,41.9,0
15,Online,54.6,0
16,POS,70.6,0
15,ATM,57.3,0
9,ATM,61.7,0
6,Online,58.4,1
18,ATM,46.2,0
22,ATM,66,0
7,Online,45.4,0
22,POS,54.6,0
13,Online,21.9,0
15,ATM,40.6,0
15,POS,68.4,0
18,POS,48.5,0
16,POS,55.2,0
18,POS,55.3,0
17,Online,43.2,0
22,Online,42,0
8,Online,51.7,0
11,Online,41.7,0
8,ATM,54.3,0
14,ATM,44.4,0
22,ATM,32.6,0
18,POS,34.1,0
22,ATM,67.1,0
20,POS,51.8,0
10,Online,42.3,0
23,POS,45.2,0
12,POS,31.2,0
15,Online,43.9,1
15,ATM,42.3,0
17,POS,52.7,0
14,ATM,19.5,0
15,ATM,32.4,0
13,POS,34.9,0
7,POS,25.6,0
13,ATM,50.2,0
21,ATM,37.7,1
21,Online,48,0
8,POS,60.4,0
17,ATM,59.6,0
16,POS,50.3,0
23,ATM,43.7,0
15,POS,40.7,0
9,Online,39,0
15,Online,45.2,0
12,ATM,45.9,0
8,Online,16,0
18,POS,30.5,0
16,ATM,72.8,0
23,ATM,48.3,0
7,ATM,52.9,0
15,ATM,39.9,0
21,Online,56.2,0
7,POS,52.6,0
23,ATM,49.5,0
14,Online,25.2,0
23,Online,42.3,0
12,POS,49.2,0
10,ATM,54.3,0
18,ATM,38.9,0
14,Online,44.3,0
7,Online,45.8,0
10,Online,53.3,0
7,Online,38.4,0
14,POS,54.9,0
8,POS,30.2,0
20,POS,48.7,0
8,POS,50.5,0
10,POS,47.8,0
16,ATM,29.8,1
7,ATM,49.2,0
20,ATM,41.3,0
23,ATM,43.2,1
17,Online,58.3,0
14,POS,37.1,0
16,ATM,37.1,0
16,ATM,40.5,0
7,POS,50.9,0
20,POS,45,1
22,Online,43.9,0
14,Online,28.2,0
9,POS,32.9,0
18,Online,37.4,0
19,ATM,54.3,0
12,POS,52.1,0
19,Online,50,0
19,POS,59.1,0
13,POS,55.8,0
11,ATM,63.4,0
19,ATM,42.4,0
23,Online,40.2,0
23,Online,52.2,0
8,ATM,45.2,0
12,Online,50.3,0
19,Online,32.2,0
7,POS,45.2,0
22,Online,42.1,0
12,Online,29.9,0
11,POS,22.1,0
12,Online,54.5,0
8,Online,53.3,0
13,ATM,18.9,0
8,POS,40.9,0
14,Online,40.8,0
2,ATM,53.4,1
14,ATM,67.1,0
23,ATM,35.4,0
20,POS,38.4,0
15,POS,21.9,0
17,Online,53,1
7,ATM,32,0
15,ATM,26.5,0
10,POS,65,0
13,Online,50.8,0
9,ATM,43,0
18,ATM,47.8,0
17,POS,36.6,1
10,ATM,26.5,0
10,POS,46.3,0
13,Online,51.4,0
11,Online,31.3,0
10,POS,44.1,0
1,ATM,39.8,1
18,ATM,57.3,0
16,Online,63.6,0
12,ATM,57.9,0
8,POS,46.4,0
19,POS,36.6,0
15,ATM,27.3,0
8,Online,30.8,0
20,Online,39.9,0
10,POS,62.7,0
20,ATM,52.4,0
22,ATM,40,0
18,Online,45.8,0
8,POS,48.8,0
12,POS,51.5,0
8,Online,48.6,0
7,Online,48.6,0
9,Online,44.9,0
13,POS,51,0
9,Online,48.5,0
7,POS,56.8,0
23,ATM,51.9,0
11,ATM,41.7,0
22,Online,50.2,0
17,ATM,61.6,0
7,Online,52.3,0
10,ATM,30.6,0
12,ATM,52.5,0
7,Online,46.7,0
11,ATM,28.6,0
7,POS,41.3,0
9,POS,43.4,0
19,Online,36.8,0
22,POS,38.9,0
14,ATM,40.4,1
16,ATM,40.7,0
18,ATM,38.6,0
20,ATM,57.7,0
14,POS,42.5,0
19,ATM,61.2,0
20,POS,52.1,0
13,ATM,42.7,0
20,POS,30.1,0
20,Online,32.7,0
20,Online,33,0
17,POS,37.5,0
21,Online,52.2,0
13,ATM,27.9,0
20,POS,47,0
9,POS,40.5,0
11,Online,39.8,0
9,ATM,43.4,0
0,Online,53.1,1
14,ATM,42,0
19,Online,23.5,0
22,POS,39.5,0
17,ATM,44.6,0
18,Online,34.1,0
18,ATM,45.6,0
12,ATM,52.1,0
10,Online,43.5,0
18,POS,36.2,0
17,Online,45.6,0
13,ATM,34.6,0
14,ATM,56.9,0
23,POS,52.2,0
13,Online,56.7,0
7,POS,34.9,0
20,ATM,52.5,0
12,POS,47.9,0
14,Online,44.6,0
21,POS,52.6,0
22,ATM,49.1,1
17,POS,45.2,0
13,Online,45,0
10,POS,47,0
16,Online,42.3,0
21,POS,30,0
13,POS,24.7,0
16,Online,41.5,0
13,ATM,34.9,0
21,Online,49.3,0
11,POS,35.7,0
9,ATM,37.8,0
20,ATM,48.6,0
20,ATM,32.1,0
16,Online,34.6,0
9,Online,59.9,0
4,Online,34.7,1
22,ATM,40.9,0
14,ATM,41.3,0
20,POS,36.2,0
12,Online,33.5,0
16,Online,43.8,0
7,ATM,35,0
23,POS,58.5,0
7,POS,40.9,0
7,POS,33.5,0
20,ATM,52.3,0
22,Online,44,0
23,ATM,49.2,0
9,Online,42.8,0
9,ATM,45.2,0
10,ATM,43.7,0
9,Online,41.8,0
11,Online,43.9,0
7,POS,57.4,0
7,POS,45.7,0
7,ATM,55.9,0
16,ATM,40,0
13,Online,30.1,0
10,Online,36.8,0
15,POS,55.3,0
22,Online,43.1,0
15,POS,58,0
19,ATM,52.4,0
11,ATM,40.8,0
21,POS,44.8,0
21,ATM,59.8,0
3,Online,44.4,1
21,ATM,34.4,0
23,ATM,46.4,0
18,ATM,24.6,0
20,ATM,51.1,0
10,POS,49.9,0
8,ATM,43.9,0
11,POS,39.6,0
20,POS,39.5,0
17,ATM,43.6,0
14,POS,42.4,0
19,Online,54.7,0
14,ATM,38.3,0
15,Online,36.1,0
16,ATM,40.9,0
6,ATM,51.5,1
11,ATM,45.2,0
16,ATM,36.4,0
19,POS,38,0
8,Online,52.2,0
15,Online,49.7,1
3,Online,39.5,1
15,ATM,43.5,0
11,ATM,33.5,0
17,ATM,73.6,0
10,ATM,46,0
21,ATM,49.1,0
7,ATM,57.2,0
13,Online,44.9,0
22,Online,31.2,0
18,Online,35.8,0
8,ATM,37.7,0
22,POS,32,0
14,Online,55.5,0
22,ATM,37.6,0
23,Online,25.1,0
15,ATM,25.7,0
17,POS,51.4,0
8,POS,42.7,0
16,ATM,53.9,0
13,POS,49.6,0
21,ATM,48.8,0
16,ATM,41.5,0
23,ATM,42.6,0
9,ATM,50,0
11,ATM,32.2,0
14,POS,22.5,0
12,Online,27.7,0
21,Online,50.7,0
21,POS,45.4,0
22,POS,58,0
16,POS,34.7,0
10,Online,32.5,0
23,POS,45.7,0
9,POS,24,0
12,ATM,44,0
20,POS,35.5,0
21,POS,55.3,0
6,Online,41.4,1
13,ATM,46.6,0
16,POS,34.5,0
15,ATM,61.8,0
9,Online,35.3,0
11,POS,46.5,0
9,Online,38.9,0
12,Online,50.2,0
21,ATM,53.1,0
13,POS,33.1,1
19,POS,40.7,0
15,ATM,39.1,0
15,POS,47.3,0
19,POS,55.2,0
13,ATM,47.9,0
9,Online,56.4,0
21,Online,35.6,0
11,ATM,47,0
18,ATM,46.6,0
17,ATM,46,0
11,Online,41.1,0
11,Online,31.2,0
16,ATM,50.1,0
16,Online,27.5,0
17,POS,54.5,0
16,POS,50.7,0
10,POS,32.2,0
6,Online,55.1,1
22,Online,62.5,0
21,Online,44.1,0
10,ATM,34.5,0
18,ATM,55.3,0
13,POS,65.2,0
18,Online,63,0
18,Online,64.9,0
10,ATM,38.2,0
19,Online,59.9,1
12,Online,59.6,0
7,Online,51.7,0
7,POS,48.7,0
13,ATM,40.4,0
8,Online,37.7,0
14,Online,51.1,0
4,Online,45.9,1
13,ATM,45.3,0
9,ATM,25,0
8,Online,42.7,0
12,Online,32.9,0
10,Online,50.6,0
12,Online,26.4,0
15,ATM,29.5,0
8,POS,43.3,0
7,Online,31.6,0
9,ATM,41.9,0
11,ATM,60,0
22,ATM,49,0
20,POS,60.2,0
10,Online,51,0
20,ATM,49.3,0
14,Online,42.6,0
13,POS,47.2,0
8,POS,52.6,0
23,POS,39.2,0
13,POS,42.4,0
23,POS,43.5,0
18,Online,54.5,0
9,ATM,51.6,0
11,POS,43.3,0
13,POS,33.7,0
19,POS,31.7,0
9,Online,51.9,0
20,ATM,62,0
22,ATM,47.8,0
18,POS,53.9,0
22,Online,67.5,0
22,ATM,67.4,0
9,POS,24.1,0
16,ATM,47.1,0
19,POS,50,0
11,ATM,42,0
7,POS,48.9,0
20,Online,39,0
20,ATM,36,0
21,ATM,44.6,0
10,ATM,62.8,0
18,ATM,55.7,0
11,POS,54.3,0
14,Online,44.4,0
8,Online,33.9,0
19,Online,53.9,0
18,Online,39.5,0
16,ATM,34.5,0
13,Online,46.3,0
14,ATM,41.8,0
14,Online,49.8,0
16,POS,50.7,0
7,Online,49.2,0
7,POS,54.3,0
16,ATM,51.9,0
19,POS,45.7,0
15,Online,46.1,0
23,POS,33.7,0
7,POS,34.1,0
10,ATM,53.7,0
21,Online,34.1,0
10,Online,41.4,0
22,Online,59.5,1
8,POS,30.7,0
20,ATM,47.7,0
18,POS,65.9,0
17,ATM,36.5,0
14,Online,38.4,0
17,Online,46.9,0
9,ATM,61.7,0
18,ATM,43.6,1
11,POS,61.4,0
11,ATM,42.8,0
12,POS,32.4,0
10,POS,42.8,0
10,POS,47,0
20,Online,42.5,0
10,POS,46.6,0
21,Online,54.2,0
7,Online,36.3,0
11,Online,48.4,0
10,ATM,42.5,0
7,ATM,51.5,0
15,POS,33.4,0
13,Online,45.3,0
9,Online,24.9,0
13,Online,37.5,0
20,POS,64,0
15,ATM,52.3,0
20,Online,61.2,0
7,Online,53.3,0
15,ATM,52,0
15,Online,46.8,0
21,POS,37.4,0
20,POS,29.5,0
19,Online,37.2,0
18,Online,57.4,0
12,ATM,44.2,0
7,Online,36,0
11,POS,42.7,0
12,Online,40.3,0
13,ATM,31.7,0
1,Online,41.2,1
15,Online,61,0
15,Online,45.4,0
8,POS,43.1,0
22,ATM,42.6,0
15,Online,45.6,0
20,ATM,53.4,0
21,Online,31.5,0
21,ATM,29.7,0
15,Online,60,0
9,POS,40.4,0
16,ATM,25.7,0
19,ATM,49.2,0
20,ATM,33.8,0
15,Online,46.5,0
10,ATM,42.4,0
12,Online,48,0
7,POS,50.5,0
19,POS,53.6,0
10,ATM,46.1,0
19,Online,56.7,0
13,POS,38.6,0
14,POS,35.8,0
16,Online,25.5,0
13,Online,61.9,0
23,POS,54.9,0
20,POS,32.7,0
15,Online,57.8,0
21,POS,39.2,0
18,ATM,57.2,0
19,ATM,51.6,0
22,POS,59.6,0
10,POS,45,0
9,Online,38.7,0
9,ATM,53.2,0
14,POS,39.8,0
14,Online,36.4,0
22,POS,43.7,0
23,ATM,38.4,0
15,ATM,40.7,0
7,Online,28.4,0
11,Online,39.7,0
16,POS,49,0
11,POS,48.4,0
20,POS,47.9,0
14,POS,50.1,0
20,POS,47.4,0
22,POS,50.2,0
18,ATM,54.1,0
15,ATM,33,0
14,Online,42.3,0
12,POS,52.7,0
22,Online,42.5,0
12,Online,45.3,0
19,POS,37.3,0
22,Online,46,0
20,POS,43,0
19,POS,51.4,1
12,Online,54.2,1
8,POS,34.7,0
23,ATM,48.6,0
16,Online,41.9,0
21,POS,43.1,0
10,POS,41,0
9,POS,40.9,0
14,POS,67.9,0
13,ATM,31.1,0
17,POS,34.9,0
12,ATM,39.1,0
21,Online,46.5,0
4,POS,29.8,1
6,ATM,43.6,1
10,ATM,44.6,0
12,Online,25.7,0
21,POS,34.3,0
23,Online,50,0
15,POS,47.3,0
15,Online,52.7,0
21,ATM,54.5,0
14,Online,59.2,0
7,Online,39,0
13,POS,48.2,0
7,POS,50.7,0
20,ATM,55.6,0
8,Online,61.8,0
8,ATM,56.2,0
12,Online,42,0
9,POS,17.7,0
19,ATM,42.8,0
12,ATM,50,0
14,Online,59.6,0
15,Online,44.7,0
18,POS,50.2,0
